Id,gridcode,Shape_Leng,Shape_Area
"1","2",291.57824147200,4109.03951135000
"1","2",114.98380791400,822.04683216500
"1","2",168.37937686800,1644.88734486000
"1","2",114.98642164500,822.08915863100
"1","2",115.01954094900,822.57099050900
"1","2",115.01798457900,822.54872975100
"1","2",168.39554830600,1645.14228014000
"1","2",168.39604411000,1645.14688266000
"1","2",168.39973853700,1645.20127008000
"1","2",114.99399290600,822.20544297100
"1","2",114.99520204000,822.22375672900
"1","2",1556.96354817000,74038.34671110001
"1","2",115.03100282900,822.74891312000
"1","2",566.95035945700,9874.54033305000
"1","2",168.43018375000,1645.64238473000
"1","2",115.03796717800,822.85925287500
"1","2",168.43059052700,1645.64906291000
"1","2",115.04163217100,822.91389281000
"1","2",115.04472099300,822.95893228900
"1","2",6927.55022691000,1018027.96739999996
"1","2",115.01884425000,822.58553561000
"1","2",115.02904441100,822.74280897400
"1","2",115.02899941600,822.74216533800
"1","2",29176.92859440000,5015581.82916999981
"1","2",168.44546013600,1645.76814992000
"1","2",168.44652771800,1645.78520193000
"1","2",115.07027475800,823.35455225200
"1","2",115.07399939900,823.41393395700
"1","2",230.14923575400,2470.26885782000
"1","2",6526.23598286000,596149.62976000004
"1","2",4985.13808311000,415814.39127000002
"1","2",558.84757839500,13169.92852010000
"1","2",230.10289408500,2469.26976487000
"1","2",168.51665360400,1646.99828975000
"1","2",115.07979757200,823.50197548400
"1","2",115.08731232800,823.61290135500
"1","2",115.09092622500,823.66934518300
"1","2",115.09112511600,823.67236039400
"1","2",114.99101866300,822.22614782800
"1","2",115.08592596700,823.60013347300
"1","2",114.99344225500,822.26384054400
"1","2",6.76012961880,1.91821514252
"1","2",68.10536234780,166.77942087300
"1","2",47.00097844350,91.75567836990
"1","2",221.79064788700,2466.87224958000
"1","2",61.38714057460,144.17199830200
"1","2",188.94910722900,660.34154260000
"1","2",27.80730803120,19.95506920700
"1","2",115.07069259900,823.38329389500
"1","2",115.10316628300,823.86086721800
"1","2",115.09923505700,823.80559957900
"1","2",361.39226173100,4112.28012655000
"1","2",115.00756095400,822.48225482000
"1","2",115.00965031200,822.51297931300
"1","2",1785.60484631000,110074.41067400000
"1","2",114.93917684100,821.49755646500
"1","2",114.93948165700,821.50224973900
"1","2",114.93962595100,821.50448029500
"1","2",115.01264999300,822.56025151400
"1","2",168.31687543100,1643.03221507000
"1","2",114.94157618600,821.53454194000
"1","2",114.94172593900,821.53685052900
"1","2",114.96993356800,821.94532975400
"1","2",114.96980984300,821.94406418000
"1","2",114.96734245000,821.90878471400
"1","2",3000.95885670000,333549.40810300002
"1","2",114.94403888900,821.57293627200
"1","2",114.97065541600,821.95917498300
"1","2",114.97046786900,821.95666114400
"1","2",927.75445104500,39437.42732940000
"1","2",114.94701176000,821.61862296700
"1","2",114.94700960900,821.61859226100
"1","2",115.11267985500,824.01400130400
"1","2",114.94715579100,821.62084970900
"1","2",858.01732750200,12324.43461920000
"1","2",114.94818859100,821.63695625100
"1","2",114.94809002600,821.63554717800
"1","2",114.94833615300,821.63923346500
"1","2",114.94891837700,821.64806000000
"1","2",230.03958966400,2468.01751117000
"1","2",114.94993812600,821.66381202400
"1","2",513.29675347900,9864.19561228000
"1","2",114.95008343400,821.66605703900
"1","2",114.95023069200,821.66832992800
"1","2",114.95082420800,821.67715017900
"1","2",114.95087222700,821.67833961500
"1","2",114.95180157200,821.69279907900
"1","2",114.95259858700,821.70452863400
"1","2",238.08044508100,2465.13441972000
"1","2",176.51799383000,1643.46198776000
"1","2",114.95438612000,821.73209492000
"1","2",114.95512867500,821.74354859600
"1","2",115.09587322400,823.77842417000
"1","2",115.09582867300,823.77778641300
"1","2",406.91862562700,4942.75295062000
"1","2",230.19418947200,2471.39107164000
"1","2",176.55730807400,1644.27234823000
"1","2",114.98239236800,822.13974228700
"1","2",283.31539970700,4109.07423157000
"1","2",291.54482038600,3288.70763917000
"1","2",1418.68695261000,41210.73973720000
"1","2",115.12592805500,824.21790077400
"1","2",114.98656412100,822.20308220500
"1","2",114.96038941200,821.82529141700
"1","2",114.96165646400,821.84390916400
"1","2",7411.66441153000,522315.23150100000
"1","2",4688.84826186000,341878.62551899999
"1","2",115.10329452100,823.89301830400
"1","2",115.11081442500,824.00184376900
"1","2",115.10346567400,823.89563550900
"1","2",115.10363679500,823.89825226700
"1","2",114.96301962200,821.86523953900
"1","2",842.94888697600,20600.02861610000
"1","2",115.11098686700,824.00481364700
"1","2",1710.69076350000,107161.82005900001
"1","2",114.96341453500,821.87122036400
"1","2",114.96356927400,821.87360021400
"1","2",468.01982487800,8218.83315039000
"1","2",690.63399878500,18950.38687400000
"1","2",230.24135511100,2472.43967143000
"1","2",114.99204334900,822.28846396400
"1","2",1051.24365517000,23846.25599130000
"1","2",176.56812526600,1644.60039002000
"1","2",115.04064640300,822.99223715500
"1","2",114.96856741400,821.95041469700
"1","2",406.56555252000,4934.15773208000
"1","2",114.97354402500,822.02708698600
"1","2",115.04337097000,823.03789518600
"1","2",336.98429226500,6584.33510751000
"1","2",3673.21870651000,246908.01790499999
"1","2",460.18147137000,7407.61903939000
"1","2",115.04576858500,823.07470247500
"1","2",115.06971999300,823.42178450100
"1","2",115.06996275300,823.42559213300
"1","2",115.00652133300,822.50889014300
"1","2",114.97925871900,822.11564667100
"1","2",115.00747062700,822.52346883000
"1","2",114.98332860500,822.17851503100
"1","2",337.09816910700,4941.26781051000
"1","2",168.54953832900,1647.09957354000
"1","2",115.07831133300,823.55240660200
"1","2",513.78617774800,10706.24678680000
